##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
11.89000, 1.048218
11.90000, 15.94933
11.91000, 36.94684
11.92000, 9.944305
11.93000, 14.94174
11.94000, 25.93915
11.95000, 10.93649
11.96000, 16.93382
11.97000, 15.93111
11.98000, 16.92834
11.99000, 31.92554
12.00000, 14.92272
12.01000, 5.919846
12.02000, 9.139816
12.03000, 20.85218
12.04000, 18.84415
12.05000, 1.836098
12.06000, 46.32216
12.07000, 4.314026
12.08000, 29.30585
12.09000, 45.29762
12.10000, 11.28934
12.11000, 28.28102
12.12000, 26.27265
12.13000, 25.26424
12.14000, 11.25578
12.15000, 22.24728
12.16000, 32.23874
12.17000, 10.23016
12.18000, 34.22266
12.19000, 4.215111
12.20000, 9.208397
12.21000, 18.20164
12.22000, 32.19485
12.23000, 15.18803
12.24000, 38.18116
12.25000, 48.17428
12.26000, 25.16740
12.27000, 6.160515
12.28000, 23.15359
12.29000, 29.14664
12.30000, 25.13966
12.31000, 1.132637
12.32000, 0.3877640
12.33000, 14.14374
12.34000, 6.135979
12.35000, 16.12820
12.36000, 13.42117
12.37000, 27.41352
12.38000, 21.40582
12.39000, 25.39809
12.40000, 11.39030
12.41000, 18.38248
12.42000, 10.37463
12.43000, 35.36774
12.44000, 22.36083
12.45000, 11.35389
12.46000, 17.34738
12.47000, 31.34084
12.48000, 21.33427
12.49000, 3.672310
12.50000, 12.31881
12.51000, 16.30991
12.52000, 13.48445
12.53000, 25.21194
12.54000, 10.20296
12.55000, 3.193954
12.56000, 10.18494
12.57000, 20.17590
12.58000, 2.166862
12.59000, 12.15781
12.60000, 18.14876
12.61000, 23.13971
12.62000, 16.99743
12.63000, 17.98840
12.64000, 12.97936
12.65000, 9.970337
12.66000, 16.96133
12.67000, 30.95232
12.68000, 21.94333
12.69000, 17.93433
12.70000, 18.92535
12.71000, 21.91639
12.72000, 22.90742
12.73000, 9.898499
12.74000, 25.88958
12.75000, 17.88068
12.76000, 12.87181
12.77000, 18.86295
12.78000, 11.85413
12.79000, 9.897072
12.80000, 31.19077
12.81000, 7.181984
12.82000, 31.17319
12.83000, 30.16509
12.84000, 17.32972
12.85000, 14.32161
12.86000, 9.688919
12.87000, 24.68083
12.88000, 25.67276
12.89000, 14.66472
12.90000, 11.65954
12.91000, 7.654381
12.92000, 1.649254
12.93000, 6.644150
12.94000, 33.97297
12.95000, 25.96791
12.96000, 5.962852
12.97000, 22.90119
12.98000, 23.89616
12.99000, 41.89117
13.00000, 52.15613
13.01000, 27.57774
13.02000, 6.575096
13.03000, 5.572495
13.04000, 21.56992
13.05000, 17.56738
13.06000, 8.564880
13.07000, 7.562408
13.08000, 21.55998
13.09000, 33.47412
13.10000, 16.47425
13.11000, 27.47493
13.12000, 11.47567
13.13000, 37.47646
13.14000, 20.47729
13.15000, 29.47816
13.16000, 23.47909
13.17000, 15.48006
13.18000, 14.48108
13.19000, 26.48216
13.20000, 13.48328
13.21000, 24.48602
13.22000, 25.89939
13.23000, 10.90257
13.24000, 22.90582
13.25000, 8.090851
13.26000, 18.90829
13.27000, 13.90750
13.28000, 3.906799
13.29000, 25.90617
13.30000, 26.90564
13.31000, 20.90518
13.32000, 10.90481
13.33000, 24.90452
13.34000, 25.90431
13.35000, 12.90419
13.36000, 33.90442
13.37000, 11.90472
13.38000, 13.90513
13.39000, 30.09425
13.40000, 19.09483
13.41000, 22.09547
13.42000, 20.09621
13.43000, 4.097015
13.44000, 5.097893
13.45000, 28.09885
13.46000, 21.09989
13.47000, 39.10100
13.48000, 10.10219
13.49000, 37.10345
13.50000, 20.10480
13.51000, 7.893784
13.52000, 20.04394
13.53000, 15.04329
13.54000, 24.04272
13.55000, 4.957756
13.56000, 7.039185
13.57000, 32.03621
13.58000, 27.03331
13.59000, 23.03125
13.60000, 12.02928
13.61000, 12.03050
13.62000, 5.031807
13.63000, 17.03319
13.64000, 34.03465
13.65000, 4.036186
13.66000, 20.03780
13.67000, 10.03947
13.68000, 32.04124
13.69000, 29.78624
13.70000, 32.78816
13.71000, 3.209808
13.72000, 31.79063
13.73000, 22.79234
13.74000, 21.79413
13.75000, 16.79600
13.76000, 13.79795
13.77000, 14.80262
13.78000, 7.807373
13.79000, 16.81223
13.80000, 5.817146
13.81000, 3.822845
13.82000, 8.828568
13.83000, 12.83438
13.84000, 16.84027
13.85000, 3.846252
13.86000, 9.852318
13.87000, 27.85849
13.88000, 11.86475
13.89000, 12.87110
13.90000, 17.87753
13.91000, 5.884033
13.92000, 19.89222
13.93000, 7.900490
13.94000, 7.908836
13.95000, 10.91727
13.96000, 20.92579
13.97000, 21.93438
13.98000, 1.056953
13.99000, 5.048782
14.00000, 1.956787
14.01000, 21.96246
14.02000, 17.11554
14.03000, 4.878639
14.04000, 13.12523
14.05000, 11.12918
14.06000, 14.13589
14.07000, 16.14268
14.08000, 25.14955
14.09000, 11.81348
14.10000, 9.820465
14.11000, 24.82751
14.12000, 22.83459
14.13000, 5.158287
14.14000, 11.84595
14.15000, 2.850212
14.16000, 21.85452
14.17000, 27.85918
14.18000, 26.86389
14.19000, 4.131355
14.20000, 12.87104
14.21000, 12.87595
14.22000, 17.88090
14.23000, 10.88589
14.24000, 11.89090
14.25000, 8.895935
14.26000, 14.90102
14.27000, 13.90613
14.28000, 16.08419
14.29000, 20.08977
14.30000, 27.20544
14.31000, 15.21140
14.32000, 21.21736
14.33000, 8.223328
14.34000, 11.22929
14.35000, 35.23526
14.36000, 3.241219
14.37000, 14.24718
14.38000, 18.25316
14.39000, 25.25912
14.40000, 24.62381
14.41000, 14.62976
14.42000, 12.63821
14.43000, 25.64664
14.44000, 35.65504
14.45000, 23.16928
14.46000, 11.17766
14.47000, 23.18603
14.48000, 26.19440
14.49000, 35.20278
14.50000, 18.21114
