##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
##CELL PARAMETERS=a: 4.7165(9) b: 10.3827(8) c: 6.0468(8) alpha: 90. beta: 90. gamma: 90. volume: 296.11(4) crystal system: orthorhombic
15.530, 12.790
15.540, 5.789
15.550, 9.788
15.560, 4.786
15.570, 1.215
15.580, 0.029
15.590, 7.970
15.600, 2.172
15.610, 20.967
15.620, 17.965
15.630, 5.141
15.640, 9.139
15.650, 26.137
15.660, 11.135
15.670, 19.981
15.680, 0.979
15.690, 21.943
15.700, 7.940
15.710, 14.937
15.720, 11.934
15.730, 10.931
15.740, 14.929
15.750, 3.927
15.760, 22.925
15.770, 6.923
15.780, 24.922
15.790, 1.094
15.800, 18.093
15.810, 6.091
15.820, 21.090
15.830, 3.088
15.840, 9.089
15.850, 4.091
15.860, 28.092
15.870, 23.093
15.880, 3.094
15.890, 11.096
15.900, 21.099
15.910, 12.101
15.920, 11.104
15.930, 12.703
15.940, 23.706
15.950, 4.709
15.960, 12.712
15.970, 10.715
15.980, 17.718
15.990, 18.721
16.000, 18.726
16.010, 14.730
16.020, 2.265
16.030, 2.391
16.040, 17.740
16.050, 10.741
16.060, 2.743
16.070, 1.744
16.080, 15.745
16.090, 16.263
16.100, 17.264
16.110, 17.471
16.120, 7.474
16.130, 23.477
16.140, 19.479
16.150, 17.568
16.160, 0.571
16.170, 10.574
16.180, 13.577
16.190, 28.581
16.200, 18.442
16.210, 17.471
16.220, 6.475
16.230, 15.061
16.240, 3.065
16.250, 10.069
16.260, 16.055
16.270, 0.060
16.280, 2.066
16.290, 2.072
16.300, 6.078
16.310, 1.158
16.320, 3.059
16.330, 1.937
16.340, 16.068
16.350, 15.072
16.360, 8.991
16.370, 21.020
16.380, 5.024
16.390, 10.029
16.400, 3.033
16.410, 17.039
16.420, 12.875
16.430, 2.879
16.440, 14.096
16.450, 6.101
16.460, 2.350
16.470, 1.674
16.480, 12.329
16.490, 15.362
16.500, 4.365
16.510, 18.369
16.520, 3.372
16.530, 9.375
16.540, 22.378
16.550, 0.618
16.560, 1.392
16.570, 13.385
16.580, 6.387
16.590, 19.388
16.600, 12.441
16.610, 30.442
16.620, 6.427
16.630, 14.428
16.640, 18.262
16.650, 22.264
16.660, 4.265
16.670, 11.266
16.680, 1.465
16.690, 4.266
16.700, 10.266
16.710, 3.266
16.720, 11.267
16.730, 9.267
16.740, 7.268
16.750, 7.268
16.760, 5.269
16.770, 0.513
16.780, 1.246
16.790, 7.244
16.800, 18.955
16.810, 8.954
16.820, 1.246
16.830, 17.950
16.840, 9.152
16.850, 22.149
16.860, 9.146
16.870, 21.143
16.880, 23.978
16.890, 11.976
16.900, 20.974
16.910, 21.066
16.920, 18.064
16.930, 21.062
16.940, 20.061
16.950, 9.221
16.960, 23.220
16.970, 13.217
16.980, 2.058
16.990, 3.217
17.000, 18.216
17.010, 12.215
17.020, 12.215
17.030, 33.835
17.040, 24.836
17.050, 25.836
17.060, 38.836
17.070, 31.837
17.080, 54.836
17.090, 76.837
17.100, 48.837
17.110, 49.839
17.120, 42.841
17.130, 44.845
17.140, 27.848
17.150, 32.851
17.160, 24.854
17.170, 16.857
17.180, 12.860
17.190, 28.175
17.200, 22.177
17.210, 14.181
17.220, 12.033
17.230, 6.739
17.240, 21.742
17.250, 1.744
17.260, 3.747
17.270, 18.750
17.280, 5.051
17.290, 26.752
17.300, 0.053
17.310, 13.746
17.320, 17.742
17.330, 23.738
17.340, 1.266
17.350, 17.729
17.360, 11.725
17.370, 17.720
17.380, 16.715
17.390, 12.710
17.400, 0.294
17.410, 5.817
17.420, 10.811
17.430, 16.808
17.440, 24.805
17.450, 26.801
17.460, 18.999
17.470, 23.993
17.480, 3.989
17.490, 2.984
17.500, 20.980
17.510, 13.805
17.520, 26.800
17.530, 12.669
