##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
9.503400, 12.94113
9.511800, 16.14877
9.520100, 17.18604
9.528500, 10.08316
9.536800, 39.86115
9.545200, 0.7369380
9.553600, 15.98627
9.561900, 16.47784
9.570300, 18.31903
9.578600, 19.56912
9.587000, 8.8715002E-02
9.595300, 3.479004
9.603700, 26.83133
9.612100, 21.07254
9.620400, 15.53754
9.628800, 15.44360
9.637100, 30.83917
9.645500, 4.964325
9.653800, 24.81885
9.662200, 9.171570
9.670500, 23.67648
9.678900, 1.452087
9.687300, 8.778320
9.695600, 13.69443
9.704000, 14.68582
9.712300, 16.51801
9.720700, 22.60980
9.729000, 8.552002
9.737400, 0.8550110
9.745700, 4.467072
9.754100, 21.60864
9.762500, 25.56982
9.770800, 22.23706
9.779200, 5.267242
9.787500, 19.52563
9.795900, 12.05493
9.804200, 16.20663
9.812600, 15.13779
9.821000, 15.79913
9.829300, 9.690033
9.837700, 17.74594
9.846000, 18.80606
9.854400, 9.975708
9.862700, 23.62485
9.871100, 16.35974
9.879400, 3.467896
9.887800, 2.581848
9.896200, 20.49866
9.904500, 26.77509
9.912900, 9.611176
9.921200, 6.230865
9.929600, 23.39188
9.937900, 13.39655
9.946300, 21.03079
9.954600, 35.05505
9.963000, 22.53842
9.971400, 12.15125
9.979700, 21.92377
9.988100, 9.795807
9.996400, 3.477509
10.00480, 5.751312
10.01310, 5.567169
